RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;350;;317;;pod_fioka;-;2
02;362;(x,0);762;;polica#1_kant_duzina_1;-;3
03;317;(x,0);88;;prednja_fioka_kant_duzina_1;-;4
04;350;(x,0);120;(x,x);strn_fioka_kant_duzina_1_sirina_2;-;4
