RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;1300;;150;;ploca;-;1
02;1750;;400;;ploca;-;2
03;400;;400;;ploca;-;2
04;800;;400;;ploca;-;2
