Oznaka;Debljina;Kvadratura;Duznih metara materijala;Broj elemenata
##_farbani_mdf;18;4,458874;11,404;19
##_iverica_bela;18;1,3290159999999998;4,454000000000001;13
##_farbani_mdf_ploca;44;2,555;7,199999999999999;7
##_lesonit;3;2,1272320000000002;2,489;3
