RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;181;(x,0);382;;polica_kant_duzina_1;-;1
02;364;(x,0);382;;polica_kant_duzina_1;-;2
03;809;(x,0);382;;polica_kant_duzina_1;-;2
04;1276;(x,x);397;(x,x);vrata_kant_obe_2;-;2
05;1282;(x,x);382;(x,x);vrata_kant_obe_2;-;2
06;187;(x,x);397;(x,x);vrata_kant_obe_2;-;2
07;289;(x,x);382;(x,x);vrata_kant_obe_2;-;1
08;376;(x,x);538;(x,x);vrata_kant_obe_2;-;1
09;382;(x,x);382;(x,x);vrata_kant_obe_2;-;4
010;597;(x,x);382;(x,x);vrata_kant_obe_2;-;2
